                             File Batch      Kit startingAmt             TriplicateGroup Triplicate
1          Clontech_trimmed.1.fq Repro Clontech         100                 Clontech100          1
2          Clontech_trimmed.2.fq Repro Clontech         100                 Clontech100          2
3          Clontech_trimmed.3.fq Repro Clontech         100                 Clontech100          3
4          Clontech_trimmed.4.fq Repro Clontech         250                 Clontech250          1
5          Clontech_trimmed.5.fq Repro Clontech         250                 Clontech250          2
6          Clontech_trimmed.6.fq Repro Clontech         250                 Clontech250          3
7          Clontech_trimmed.7.fq Repro Clontech         500                 Clontech500          1
8          Clontech_trimmed.8.fq Repro Clontech         500                 Clontech500          2
9          Clontech_trimmed.9.fq Repro Clontech         500                 Clontech500          3
10        Clontech_trimmed.10.fq Repro Clontech        1000         Clontech1000_Batch1          1
11        Clontech_trimmed.11.fq Repro Clontech        1000         Clontech1000_Batch1          2
12        Clontech_trimmed.12.fq Repro Clontech        1000         Clontech1000_Batch1          3
13        Clontech_trimmed.13.fq Repro Clontech        1500                Clontech1500          1
14        Clontech_trimmed.14.fq Repro Clontech        1500                Clontech1500          2
15        Clontech_trimmed.15.fq Repro Clontech        1500                Clontech1500          3
16        Clontech_trimmed.16.fq Repro Clontech        2000                Clontech2000          1
17        Clontech_trimmed.17.fq Repro Clontech        2000                Clontech2000          2
18        Clontech_trimmed.18.fq Repro Clontech        2000                Clontech2000          3
19     Clontech_trimmed.1_acc.fq Accur Clontech        1000         Clontech1000_Batch2          1
20     Clontech_trimmed.2_acc.fq Accur Clontech        1000         Clontech1000_Batch2          2
21     Clontech_trimmed.3_acc.fq Accur Clontech        1000         Clontech1000_Batch2          3
22         Illumina_trimmed.1.fq Repro Illumina        1000         Illumina1000_Batch1          1
23         Illumina_trimmed.2.fq Repro Illumina        1000         Illumina1000_Batch1          2
24         Illumina_trimmed.3.fq Repro Illumina        1000         Illumina1000_Batch1          3
25         Illumina_trimmed.4.fq Repro Illumina        1500                Illumina1500          1
26         Illumina_trimmed.5.fq Repro Illumina        1500                Illumina1500          2
27         Illumina_trimmed.6.fq Repro Illumina        1500                Illumina1500          3
28         Illumina_trimmed.7.fq Repro Illumina        2000                Illumina2000          1
29         Illumina_trimmed.8.fq Repro Illumina        2000                Illumina2000          2
