File,Kit,Batch,startingAmt,TriplicateGroup,Trip_Group,Groups,Triplicate,miRNAtotal
mm0_NEXT_trimmed.6_R1.fq,NEXTflex,Repro,250,NEXTflex250,NEXTflex_250,NEXT_250,3,2805247
mm0_NEXT_trimmed.7_R1.fq,NEXTflex,Repro,500,NEXTflex500,NEXTflex_500,NEXT_500,1,11164816
mm0_NEXT_trimmed.8_R1.fq,NEXTflex,Repro,500,NEXTflex500,NEXTflex_500,NEXT_500,2,13396548
mm0_NEXT_trimmed.9_R1.fq,NEXTflex,Repro,500,NEXTflex500,NEXTflex_500,NEXT_500,3,12590077
mm0_NEXT_trimmed.10_R1.fq,NEXTflex,Repro,1000,NEXTflex1000_Batch1,NEXTflex_1000_Batch1,NEXT_1000_Batch1,1,16084325
mm0_NEXT_trimmed.11_R1.fq,NEXTflex,Repro,1000,NEXTflex1000_Batch1,NEXTflex_1000_Batch1,NEXT_1000_Batch1,2,10990385
mm0_NEXT_trimmed.12_R1.fq,NEXTflex,Repro,1000,NEXTflex1000_Batch1,NEXTflex_1000_Batch1,NEXT_1000_Batch1,3,7802416
mm0_NEXT_trimmed.13_R1.fq,NEXTflex,Repro,1500,NEXTflex1500,NEXTflex_1500,NEXT_1500,1,37572433
mm0_NEXT_trimmed.14_R1.fq,NEXTflex,Repro,1500,NEXTflex1500,NEXTflex_1500,NEXT_1500,2,20010848
mm0_NEXT_trimmed.15_R1.fq,NEXTflex,Repro,1500,NEXTflex1500,NEXTflex_1500,NEXT_1500,3,17233663
mm0_NEXT_trimmed.16_R1.fq,NEXTflex,Repro,2000,NEXTflex2000,NEXTflex_2000,NEXT_2000,1,16973688
mm0_NEXT_trimmed.17_R1.fq,NEXTflex,Repro,2000,NEXTflex2000,NEXTflex_2000,NEXT_2000,2,20367957
mm0_NEXT_trimmed.18_R1.fq,NEXTflex,Repro,2000,NEXTflex2000,NEXTflex_2000,NEXT_2000,3,19210494
directional_deduped_lib_align_seed15_1_bam2fastq.fq,Deduped,Repro,100,Deduped100,Deduped_100,D_100,1,176738
directional_deduped_lib_align_seed15_2_bam2fastq.fq,Deduped,Repro,100,Deduped100,Deduped_100,D_100,2,165256
directional_deduped_lib_align_seed15_3_bam2fastq.fq,Deduped,Repro,100,Deduped100,Deduped_100,D_100,3,141966
directional_deduped_lib_align_seed15_4_bam2fastq.fq,Deduped,Repro,250,Deduped250,Deduped_250,D_250,1,365503
directional_deduped_lib_align_seed15_5_bam2fastq.fq,Deduped,Repro,250,Deduped250,Deduped_250,D_250,2,273581
directional_deduped_lib_align_seed15_6_bam2fastq.fq,Deduped,Repro,250,Deduped250,Deduped_250,D_250,3,209118
directional_deduped_lib_align_seed15_7_bam2fastq.fq,Deduped,Repro,500,Deduped500,Deduped_500,D_500,1,422730
directional_deduped_lib_align_seed15_8_bam2fastq.fq,Deduped,Repro,500,Deduped500,Deduped_500,D_500,2,505368
directional_deduped_lib_align_seed15_9_bam2fastq.fq,Deduped,Repro,500,Deduped500,Deduped_500,D_500,3,530415
directional_deduped_lib_align_seed15_10_bam2fastq.fq,Deduped,Repro,1000,Deduped1000_Batch1,Deduped_1000_Batch1,D_1000_Batch1,1,664129
directional_deduped_lib_align_seed15_11_bam2fastq.fq,Deduped,Repro,1000,Deduped1000_Batch1,Deduped_1000_Batch1,D_1000_Batch1,2,552618
directional_deduped_lib_align_seed15_12_bam2fastq.fq,Deduped,Repro,1000,Deduped1000_Batch1,Deduped_1000_Batch1,D_1000_Batch1,3,470023
directional_deduped_lib_align_seed15_13_bam2fastq.fq,Deduped,Repro,1500,Deduped1500,Deduped_1500,D_1500,1,915453
directional_deduped_lib_align_seed15_14_bam2fastq.fq,Deduped,Repro,1500,Deduped1500,Deduped_1500,D_1500,2,721981
directional_deduped_lib_align_seed15_15_bam2fastq.fq,Deduped,Repro,1500,Deduped1500,Deduped_1500,D_1500,3,670722
directional_deduped_lib_align_seed15_16_bam2fastq.fq,Deduped,Repro,2000,Deduped2000,Deduped_2000,D_2000,1,719599
directional_deduped_lib_align_seed15_17_bam2fastq.fq,Deduped,Repro,2000,Deduped2000,Deduped_2000,D_2000,2,789910
directional_deduped_lib_align_seed15_18_bam2fastq.fq,Deduped,Repro,2000,Deduped2000,Deduped_2000,D_2000,3,782786
Five_double_1.fq,Fivepercent,Repro,100,Fivepercent100,Fivepercent_100,Five_100,1,153262
Five_double_2.fq,Fivepercent,Repro,100,Fivepercent100,Fivepercent_100,Five_100,2,152212
Five_double_3.fq,Fivepercent,Repro,100,Fivepercent100,Fivepercent_100,Five_100,3,97103
Five_double_4.fq,Fivepercent,Repro,250,Fivepercent250,Fivepercent_250,Five_250,1,300260
Five_double_5.fq,Fivepercent,Repro,250,Fivepercent250,Fivepercent_250,Five_250,2,159906
Five_double_6.fq,Fivepercent,Repro,250,Fivepercent250,Fivepercent_250,Five_250,3,135539
Five_double_7.fq,Fivepercent,Repro,500,Fivepercent500,Fivepercent_500,Five_500,1,540502
Five_double_8.fq,Fivepercent,Repro,500,Fivepercent500,Fivepercent_500,Five_500,2,649832
Five_double_9.fq,Fivepercent,Repro,500,Fivepercent500,Fivepercent_500,Five_500,3,611018
Five_double_10.fq,Fivepercent,Repro,1000,Fivepercent1000_Batch1,Fivepercent_1000_Batch1,Five_1000_Batch1,1,780034
Five_double_11.fq,Fivepercent,Repro,1000,Fivepercent1000_Batch1,Fivepercent_1000_Batch1,Five_1000_Batch1,2,533363
Five_double_12.fq,Fivepercent,Repro,1000,Fivepercent1000_Batch1,Fivepercent_1000_Batch1,Five_1000_Batch1,3,377461
Five_double_13.fq,Fivepercent,Repro,1500,Fivepercent1500,Fivepercent_1500,Five_1500,1,1820556
Five_double_14.fq,Fivepercent,Repro,1500,Fivepercent1500,Fivepercent_1500,Five_1500,2,970865
Five_double_15.fq,Fivepercent,Repro,1500,Fivepercent1500,Fivepercent_1500,Five_1500,3,835542
Five_double_16.fq,Fivepercent,Repro,2000,Fivepercent2000,Fivepercent_2000,Five_2000,1,824122
Five_double_17.fq,Fivepercent,Repro,2000,Fivepercent2000,Fivepercent_2000,Five_2000,2,988079
Five_double_18.fq,Fivepercent,Repro,2000,Fivepercent2000,Fivepercent_2000,Five_2000,3,933964
