File,Kit,Batch,startingAmt,TriplicateGroup,Trip_Group,Groups,Triplicate,miRNAtotal
newbatch_Clontech_trimmed.1_R1.fq,Clontech,Accur,1000,Clontech1000_Batch2,Clontech_1000_Batch2,C_1000_Batch2,1,1045613
Illumina_trimmed.11.fq,Illumina,Accur,1000,Illumina1000_Batch2,Illumina_1000_Batch2,I_1000_Batch2,1,21528
NEB_trimmed.11.fq,NEB,Accur,1000,NEB1000_Batch2,NEB_1000_Batch2,NEB_1000_Batch2,1,7151569
NEXT_trimmed.11.fq,NEXTflex,Accur,1000,NEXTflex1000_Batch2,NEXTflex_1000_Batch2,NEXT_1000_Batch2,1,5054245
Deduped_lib_align_seed15_acc_11_bam2fastq.fq,Deduped,Accur,1000,Deduped1000_Batch2,Deduped_1000_Batch2,D_1000_Batch2,1,390809
Five_double_acc_11.fq,Fivepercent,Accur,1000,Fivepercent1000_Batch2,Fivepercent_1000_Batch2,Five_1000_Batch2,1,249834
mm0_Clontech_trimmed.1_R1.fq,Clontech,Repro,100,Clontech100,Clontech_100,C_100,1,856256
mm0_Clontech_trimmed.2_R1.fq,Clontech,Repro,100,Clontech100,Clontech_100,C_100,2,780446
mm0_Clontech_trimmed.3_R1.fq,Clontech,Repro,100,Clontech100,Clontech_100,C_100,3,728294
mm0_Clontech_trimmed.4_R1.fq,Clontech,Repro,250,Clontech250,Clontech_250,C_250,1,374487
mm0_Clontech_trimmed.5_R1.fq,Clontech,Repro,250,Clontech250,Clontech_250,C_250,2,1064321
mm0_Clontech_trimmed.6_R1.fq,Clontech,Repro,250,Clontech250,Clontech_250,C_250,3,687289
mm0_Clontech_trimmed.7_R1.fq,Clontech,Repro,500,Clontech500,Clontech_500,C_500,1,1337503
mm0_Clontech_trimmed.8_R1.fq,Clontech,Repro,500,Clontech500,Clontech_500,C_500,2,968633
mm0_Clontech_trimmed.9_R1.fq,Clontech,Repro,500,Clontech500,Clontech_500,C_500,3,957220
mm0_Clontech_trimmed.10_R1.fq,Clontech,Repro,1000,Clontech1000_Batch1,Clontech_1000_Batch1,C_1000_Batch1,1,527003
mm0_Clontech_trimmed.11_R1.fq,Clontech,Repro,1000,Clontech1000_Batch1,Clontech_1000_Batch1,C_1000_Batch1,2,1157598
mm0_Clontech_trimmed.12_R1.fq,Clontech,Repro,1000,Clontech1000_Batch1,Clontech_1000_Batch1,C_1000_Batch1,3,475178
mm0_Clontech_trimmed.13_R1.fq,Clontech,Repro,1500,Clontech1500,Clontech_1500,C_1500,1,649534
mm0_Clontech_trimmed.14_R1.fq,Clontech,Repro,1500,Clontech1500,Clontech_1500,C_1500,2,984284
mm0_Clontech_trimmed.15_R1.fq,Clontech,Repro,1500,Clontech1500,Clontech_1500,C_1500,3,993254
mm0_Clontech_trimmed.16_R1.fq,Clontech,Repro,2000,Clontech2000,Clontech_2000,C_2000,1,1185113
mm0_Clontech_trimmed.17_R1.fq,Clontech,Repro,2000,Clontech2000,Clontech_2000,C_2000,2,1254961
mm0_Clontech_trimmed.18_R1.fq,Clontech,Repro,2000,Clontech2000,Clontech_2000,C_2000,3,1095977
mm0_Illumina_trimmed.1_R1.fq,Illumina,Repro,1000,Illumina1000_Batch1,Illumina_1000_Batch1,I_1000_Batch1,1,2140870
mm0_Illumina_trimmed.2_R1.fq,Illumina,Repro,1000,Illumina1000_Batch1,Illumina_1000_Batch1,I_1000_Batch1,2,1919514
mm0_Illumina_trimmed.3_R1.fq,Illumina,Repro,1000,Illumina1000_Batch1,Illumina_1000_Batch1,I_1000_Batch1,3,1738040
mm0_Illumina_trimmed.4_R1.fq,Illumina,Repro,1500,Illumina1500,Illumina_1500,I_1500,1,2599593
mm0_Illumina_trimmed.5_R1.fq,Illumina,Repro,1500,Illumina1500,Illumina_1500,I_1500,2,2134914
mm0_Illumina_trimmed.6_R1.fq,Illumina,Repro,1500,Illumina1500,Illumina_1500,I_1500,3,2541003
mm0_Illumina_trimmed.7_R1.fq,Illumina,Repro,2000,Illumina2000,Illumina_2000,I_2000,1,1140737
mm0_Illumina_trimmed.8_R1.fq,Illumina,Repro,2000,Illumina2000,Illumina_2000,I_2000,2,2436298
mm0_Illumina_trimmed.9_R1.fq,Illumina,Repro,2000,Illumina2000,Illumina_2000,I_2000,3,2508805
mm0_NEB_trimmed.1_R1.fq,NEB,Repro,100,NEB100,NEB_100,NEB_100,1,8145404
mm0_NEB_trimmed.2_R1.fq,NEB,Repro,100,NEB100,NEB_100,NEB_100,2,8679243
mm0_NEB_trimmed.3_R1.fq,NEB,Repro,100,NEB100,NEB_100,NEB_100,3,2488939
mm0_NEB_trimmed.4_R1.fq,NEB,Repro,250,NEB250,NEB_250,NEB_250,1,3089566
mm0_NEB_trimmed.5_R1.fq,NEB,Repro,250,NEB250,NEB_250,NEB_250,2,8605038
mm0_NEB_trimmed.6_R1.fq,NEB,Repro,250,NEB250,NEB_250,NEB_250,3,10867292
mm0_NEB_trimmed.7_R1.fq,NEB,Repro,500,NEB500,NEB_500,NEB_500,1,17296101
mm0_NEB_trimmed.8_R1.fq,NEB,Repro,500,NEB500,NEB_500,NEB_500,2,15369872
mm0_NEB_trimmed.9_R1.fq,NEB,Repro,500,NEB500,NEB_500,NEB_500,3,13232756
mm0_NEB_trimmed.10_R1.fq,NEB,Repro,1000,NEB1000_Batch1,NEB_1000_Batch1,NEB_1000_Batch1,1,21755196
mm0_NEB_trimmed.11_R1.fq,NEB,Repro,1000,NEB1000_Batch1,NEB_1000_Batch1,NEB_1000_Batch1,2,23405706
mm0_NEB_trimmed.12_R1.fq,NEB,Repro,1000,NEB1000_Batch1,NEB_1000_Batch1,NEB_1000_Batch1,3,29636135
mm0_NEXT_trimmed.1_R1.fq,NEXTflex,Repro,100,NEXTflex100,NEXTflex_100,NEXT_100,1,3154860
mm0_NEXT_trimmed.2_R1.fq,NEXTflex,Repro,100,NEXTflex100,NEXTflex_100,NEXT_100,2,3149737
mm0_NEXT_trimmed.3_R1.fq,NEXTflex,Repro,100,NEXTflex100,NEXTflex_100,NEXT_100,3,1995406
mm0_NEXT_trimmed.4_R1.fq,NEXTflex,Repro,250,NEXTflex250,NEXTflex_250,NEXT_250,1,6209790
mm0_NEXT_trimmed.5_R1.fq,NEXTflex,Repro,250,NEXTflex250,NEXTflex_250,NEXT_250,2,3303141
