miRNA, Clontech_trimmed.4_acc.fq, Illumina_trimmed.4_acc.fq, NEB_trimmed.4_acc.fq, NEXT_trimmed.4_acc.fq, directional_deduped_lib_align_seed15_acc_4_bam2fastq.fq, Five_double_acc_4.fq
miRNAtotal, 45230516, 35390927, 17853342, 29532219, 2552653, 1433296
synth_miRNA-1-EBV-MIR-BART10, 2219, 50498, 244520, 37103, 3779, 1738
synth_miRNA-10-EBV-MIR-BART1-5P, 26640, 2802, 13092, 65193, 5772, 3244
synth_miRNA-100-RLCV-MIR-RL1-8, 156750, 3315, 1453, 5959, 1542, 284
synth_miRNA-101-RLCV-MIR-RL1-9, 14520, 2736, 2275, 72741, 2033, 3544
synth_miRNA-102-SV40-MIR-S1, 63761, 3667, 42917, 82435, 3745, 4138
synth_miRNA-103-SV40-MIR-S1-5P, 4420, 10007, 2247, 817, 495, 45
synth_miRNA-104-LET-7A, 8049, 3648, 6430, 23493, 2416, 1094
synth_miRNA-105-LET-7B, 15191, 1854, 3499, 8028, 1527, 316
synth_miRNA-106-LET-7C, 12719, 7287, 4747, 11697, 1925, 520
synth_miRNA-107-LET-7D*, 13870, 1669, 1475, 8974, 1847, 419
synth_miRNA-108-LET-7D, 30144, 2680, 1550, 16735, 1984, 811
synth_miRNA-109-LET-7E, 16589, 2810, 1608, 6388, 1545, 296
synth_miRNA-11-EBV-MIR-BART16, 23050, 2786, 12505, 18408, 2331, 873
synth_miRNA-110-LET-7F, 37921, 6817, 11113, 28262, 3052, 1345
synth_miRNA-111-LET-7G, 50153, 20704, 37923, 48181, 3575, 2323
synth_miRNA-112-LET-7I, 35347, 45604, 96184, 32882, 3415, 1594
synth_miRNA-113-MIR-1, 6121, 164, 1984, 13157, 1593, 637
synth_miRNA-114-MIR-100, 16915, 414266, 157519, 101594, 7260, 4853
synth_miRNA-115-MIR-101, 9739, 15531, 14461, 14484, 2426, 686
synth_miRNA-116-MIR-103, 25820, 20133, 22017, 90034, 6380, 4419
synth_miRNA-117-MIR-105, 68752, 4394, 9490, 51126, 5311, 2561
synth_miRNA-118-MIR-106A, 5304, 633, 1289, 4213, 1324, 197
synth_miRNA-119-MIR-106B, 2966, 1143, 936, 10406, 2279, 472
synth_miRNA-12-EBV-MIR-BART17, 4576, 1301, 1213, 28822, 2255, 1355
synth_miRNA-120-MIR-107, 23272, 13460, 5472, 23952, 3060, 1131
synth_miRNA-121-MIR-10A, 14911, 264879, 53245, 80862, 6745, 3702
synth_miRNA-122-MIR-10B, 13569, 420320, 88452, 107814, 6735, 5164
synth_miRNA-123-MIR-122, 25879, 1663, 2353, 15641, 2306, 757
synth_miRNA-124-MIR-124, 4945, 7242, 4877, 12895, 1786, 522
synth_miRNA-125-MIR-125A, 123300, 25831, 2160, 36749, 4725, 1798
synth_miRNA-126-MIR-125B, 47456, 16429, 4504, 33099, 3718, 1542
synth_miRNA-127-MIR-126, 17592, 1638, 13573, 11525, 2218, 596
synth_miRNA-128-MIR-126-5P, 251222, 139995, 1498, 15464, 2233, 772
synth_miRNA-129-MIR-127, 33165, 1168470, 203190, 77442, 5786, 3758
synth_miRNA-13-EBV-MIR-BART17-5P, 17053, 6999, 783, 5289, 1551, 228
